Alimento,CDR,,,,25,800,14,150,375,10,<2300,2000,1,55,"1,1","1,4",16,"1,4",200,"2,5",80,800,-,-,5,12,75,20,,,
,Calorías,Proteína,Grasa,Carbohidratos,Fibra,Calcio (mg),Hierro (mg),Yodo (µg),Magnesio (mg),Zinc (mg),Sodio (mg),Potasio (mg),Cobre (mg),Selenio (µg),Tiamina (mg),Riboflavina (mg),Equivalentes de niacina (mg),Vitamina B6 (mg),Ácido Fólico (µg),Vitamina B12 (µg),Vitamina C (mg),Vitamina A (µg),Retinol (µg),Carotenos (µg),Vitamina D (µg),Vitamina E (mg),Vitamina K (µg),AGS,AGM,AGP,Colesterol
Barrita de cereales con pepitas de chocolate,"350,00","9,00","7,00","62,00","1,50","0,00","11,00","0,00","0,00","0,00","260,00","0,00","0,00","0,00","1,10","1,30","15,00","1,60","165,00","0,80","0,00","0,00","0,00","0,00","0,00","0,00","0,00","3,50","2,20","0,29","0,00"
Barrita de cereales integrales,"393,00","8,00","6,00","76,00","1,50","0,00","5,90","20,00","0,00","0,00","350,00","0,00","0,00","0,00","1,20","1,30","15,10","1,70","168,00","0,84","0,00","0,00","0,00","0,00","0,00","0,00","0,00","5,00","0,00","0,00","0,00"
Barrita de fibra y chocolate,"414,00","7,00","16,00","51,00","19,00","0,00","6,00","0,00","0,00","0,00","650,00","0,00","0,00","0,00","0,90","1,00","11,30","1,30","126,00","0,63","0,00","0,00","0,00","0,00","0,00","0,00","0,00","5,00","5,70","0,74","0,00"
Bizcocho de fruta y fibra,"383,00","4,00","13,00","58,00","9,00","0,00","6,00","0,00","0,00","0,00","260,00","0,00","1,00","0,00","0,90","1,00","11,30","1,30","126,00","0,63","0,00","7,70","7,00","4,00","0,00","0,00","0,00","1,50","6,70","3,40","0,00"
Cereales de desayuno con base de arroz,"388,00","7,00","1,50","86,00","1,00","10,00","7,90","5,00","40,00","1,00","592,00","140,00","0,10","15,40","1,20","1,30","15,00","1,70","167,00","0,80","50,00","464,00","464,00","0,00","4,20","0,60","0,10","0,59","0,20","0,61","0,00"
Cereales de desayuno con base de arroz y chocolate,"388,00","5,00","2,50","85,00","2,50","453,00","7,90","5,00","40,00","0,90","403,00","250,00","0,20","16,10","1,20","1,30","15,00","1,70","167,00","0,85","50,00","464,00","464,00","0,00","4,20","0,62","0,10","1,50","0,31","0,18","0,00"
Cereales de desayuno con base de arroz y trigo integral,"375,00","16,00","1,00","74,00","3,00","70,00","23,30","5,00","50,00","2,00","444,00","250,00","0,13","32,00","2,30","2,70","30,00","3,30","333,00","1,70","100,00","515,00","515,00","0,00","8,30","0,55","1,10","0,02","0,02","0,05","0,00"
"Cereales de desayuno con base de arroz, trigo integral, frutas rojas","390,00","14,00","1,00","79,50","3,50","60,00","23,30","5,00","50,00","2,00","444,00","300,00","0,13","32,00","2,30","2,70","30,00","3,30","300,00","1,70","100,00","515,00","515,00","0,00","8,30","0,55","1,10","0,30","0,20","0,40","0,00"
Cereales de desayuno con base de avena,"349,00","13,80","7,20","54,40","5,60","55,00","4,20","5,00","131,00","3,30","240,00","268,00","0,49","3,00","0,56","0,12","3,70","0,20","60,00","0,00","0,00","0,00","0,00","0,00","0,00","1,50","4,10","1,30","2,60","3,10","0,00"
Cereales de desayuno con base de avena integral tostada y miel,"388,00","8,60","4,90","75,00","4,90","55,00","4,20","5,00","131,00","3,30","240,00","268,00","0,49","3,00","1,40","1,60","18,00","2,00","60,00","0,00","0,00","0,00","0,00","0,00","0,00","1,50","4,10","0,88","1,80","2,10","0,00"
Cereales de desayuno con base de maíz,"376,00","8,00","0,80","83,00","2,50","10,00","7,90","5,00","15,00","0,20","666,00","100,00","0,20","2,60","1,20","1,30","14,90","1,70","167,00","0,85","50,00","398,00","398,00","0,00","4,20","0,34","1,10","0,23","0,12","0,25","0,00"
Cereales de desayuno con base de maíz azucarados,"361,00","4,50","0,60","83,70","1,50","453,00","7,90","5,00","5,00","0,10","379,00","60,00","0,04","4,40","1,20","1,30","15,00","1,00","167,00","0,80","50,00","398,00","398,00","0,00","4,20","0,13","1,10","0,20","0,09","0,26","0,00"
"Cereales de desayuno con base de maíz, avena y trigo, dorados con miel","377,00","6,00","3,00","80,60","2,00","453,00","7,90","5,00","20,00","0,50","294,00","120,00","0,30","18,10","1,20","1,30","15,00","1,70","167,00","0,85","51,00","321,00","321,00","0,00","4,20","0,80","3,10","0,40","0,98","1,60","0,00"
Cereales de desayuno con base de trigo integral con avellanas y almendras,"380,00","10,00","6,00","65,00","13,00","0,00","9,70","0,00","0,00","0,00","900,00","0,00","0,00","0,00","1,00","1,10","12,40","1,40","278,00","0,69","0,00","410,00","410,00","0,00","0,00","0,00","0,00","0,90","0,00","0,00","0,00"
Cereales de desayuno con base de trigo y chocolate,"364,00","8,00","2,50","75,00","4,50","267,00","7,90","5,00","50,00","0,90","388,00","400,00","0,20","48,60","1,20","1,30","15,00","1,70","167,00","0,85","50,00","566,00","566,00","0,00","4,20","0,50","2,00","1,10","0,28","0,32","0,00"
Cereales de desayuno con base de trigo y frutas,"348,00","10,00","2,00","65,00","15,00","40,00","11,70","5,00","120,00","2,50","800,00","600,00","0,35","29,00","1,20","1,30","15,00","1,70","333,00","0,80","66,00","546,00","546,00","0,00","4,20","4,20","2,00","0,30","0,24","1,40","0,00"
Cereales de desayuno con base de trigo y miel,"387,00","7,00","1,70","84,00","4,00","267,00","7,90","5,00","40,00","1,50","156,00","180,00","0,20","48,60","1,20","1,30","15,00","1,70","167,00","0,85","50,00","566,00","566,00","0,00","4,20","0,50","2,00","0,40","0,18","1,10","0,00"
Cereales de desayuno de trigo integral relleno de pasas,"358,00","9,00","2,00","71,50","9,00","40,00","6,00","5,00","120,00","2,50","288,00","600,00","0,35","29,00","0,90","1,00","11,30","1,30","250,00","0,60","66,00","546,00","546,00","0,00","4,20","4,20","2,00","0,30","0,24","1,40","0,00"
Cereales de desayuno rellenos de chocolate,"436,00","7,50","14,00","66,60","7,00","0,00","5,20","0,00","0,00","0,00","260,00","0,00","0,00","0,00","0,87","1,00","11,00","1,20","125,00","0,62","0,00","0,00","0,00","0,00","0,00","6,20","0,00","5,00","3,50","5,50","0,00"
Cereales de desayuno salvado de trigo completo,"338,00","13,00","4,00","48,00","29,00","340,00","8,80","5,00","240,00","6,00","480,00","950,00","0,44","9,40","0,90","1,00","11,30","1,30","250,00","0,65","26,00","525,00","525,00","0,00","3,10","2,20","5,20","0,87","0,59","2,40","0,00"
Cereales de desayuno variados con miel,"379,00","5,50","3,00","80,70","3,40","267,00","11,90","5,00","27,50","0,85","294,00","140,00","0,20","25,60","1,20","1,40","15,30","1,70","170,00","0,85","51,00","566,00","566,00","0,00","4,20","0,50","2,00","1,80","0,15","0,68","0,00"
Cereales de desayuno variados integrales con miel,"382,00","8,00","3,10","77,00","7,00","453,00","7,90","5,00","70,00","2,00","488,00","300,00","0,30","25,80","1,20","1,30","15,00","1,70","167,00","0,85","25,00","283,00","283,00","0,00","4,20","1,00","3,10","0,50","0,97","1,60","0,00"
